JURISDICCION;OBJETIVO;EJE1;EJE2;NOMBRE_PROYECTO;DESCRIPCION_PROYECTO;FECHA_INICIO;FECHA_FIN;ETIQUETA;BARRIO
SECRETARIA DE CULTURA CIUDADANA Y FUNCION PUBLICA;LOGRAR QUE LOS VECINOS DE CABA SEAN PROTAGONISTAS DE UNA CIUDAD QUE DISFRUTA DEL ENCUENTRO Y CONVIVENCIA DE ESPACIO PUBLICO.;DISFRUTE;;INDICE DE CONVIVENCIA;EL INDICE DE CONVIVENCIA SURGE DE LOS RESULTADOS DE LA “ENCUESTA DE CULTURA CIUDADANA Y CONVIVENCIA 2016”, DONDE LOS VECINOS DIERON A CONOCER SU PERCEPCION SOBRE SUS PROPIAS CONDUCTAS Y SU VALORACION SOBRE LAS DE LOS DEMAS EN TORNO A CINCO DIMENSIONES CLAVES Y CONSTITUTIVAS DE LA CONVIVENCIA: EL RESPETO, LA TOLERANCIA, LA COOPERACION, LA CONFIANZA Y LA PARTICIPACION. LOS RESULTADOS PERMITIERON CONFORMAR UNA MEDIDA AGREGADA DE LA CONVIVENCIA, Y DE LAS DISTINTAS DIMENSIONES QUE LA CONFORMAN COMO DATO ESTRATEGICO PARA CONOCER MAS EN PROFUNDIDAD LAS CARACTERISTICAS QUE ASUME LA CONVIVENCIA EN LA CIUDAD DE BUENOS AIRES.;1/1/2017;30/12/2017;CULTURA/ INTEGRACION SOCIAL Y URBANA;
MINISTERIO DE DESARROLLO URBANO Y TRANSPORTE (STRANS - CABA);MEJORAR LA SEGURIDAD VIAL Y A LA ACCESIBILIDAD FISICA.;ESCALA HUMANA;DISFRUTE;PLATAFORMAS DE ESPERA PARA BUSES ETAPA 2;"FRENTE A LA NECESIDAD DE MEJORAR EL ESPACIO PUBLICO URBANO, OFRECIENDO NUEVAS OPCIONES TANTO A LOS USUARIOS DE TRANSPORTE PUBLICO COMO A LOS PEATONES, LLEVAMOS A CABO UNA AMPLIACION DE VEREDA DESTINADA A LA ESPERA DE PASAJEROS DE TRANSPORTE PUBLICO, UTILIZADA EN PUNTOS DONDE EL ASCENSO Y DESCENSO SE VE DIFICULTADO POR OBSTRUCCIONES VEHICULARES O POR LAS CARACTERISTICAS ESPACIALES DE LA CALLE. PARA SU UBICACION, EN TODOS LOS CASOS SE ANALIZO QUE LOS LUGARES CONTARAN CON PARADAS REGLAMENTADAS DE COLECTIVOS. ADEMAS, SE CONTEMPLO QUE LA CALZADA NO SOLO PERMITA EL ESTACIONAMIENTO Y LA DETENCION DE LOS COLECTIVOS; SINO QUE TAMBIEN MANTENGA UN CARRIL LIBRE DE CIRCULACION.";1/2/2017;15/9/2017;ESPACIO PUBLICO;
MINISTERIO DE DESARROLLO URBANO Y TRANSPORTE (STRANS - CABA);MEJORAR LA SEGURIDAD VIAL Y A LA ACCESIBILIDAD FISICA.;ESCALA HUMANA;DISFRUTE;INCORPORACION DE NUEVOS AGENTES;CADA VEZ SON MAS LOS AGENTES QUE CONTRIBUYEN DIA A DIA AL ORDENAMIENTO DEL TRANSITO Y A MEJORAR LAS CONDICIONES DE SEGURIDAD VIAL EN NUESTRAS CALLES. SON UN PILAR FUNDAMENTAL EN EL PRIMER PLAN DE SEGURIDAD VIAL DE LA CIUDAD QUE PRESENTAMOS EN MARZO DE 2017. A COMIENZO DE 2017 CONTABAMOS CON 1.700 AGENTES DE TRANSITO Y HOY SON 2.750, LO QUE SE CONVIERTE EN UN CRECIMIENTO DEL 62% EN UN AÑO. ESTO SE TRADUCE EN MAYOR PRESENCIA EN BARRIOS Y EN EVENTOS MASIVOS. ADEMAS, PERMITIRA DAR RESPUESTA A LA DEMANDA EXIGIDA DEBIDO AL CRECIENTE NUMERO DE OBRAS DE GRAN ESCALA CON IMPACTO EN ZONAS DE ALTO TRANSITO VEHICULAR.;1/3/2017;15/12/2017;SISTEMA INTEGRAL DE SEGURIDAD;
MINISTERIO DE DESARROLLO URBANO Y TRANSPORTE (STRANS - CABA);MEJORAR LA OFERTA Y CALIDAD DEL TRANSPORTE PUBLICO EN GENERAL PARA POTENCIAR SU USO Y REDUCIR SU IMPACTO AMBIENTAL.;ESCALA HUMANA;;BA TAXI;ES UNA NUEVA APLICACION PARA EL CELULAR QUE CONECTA A PASAJEROS PARTICULARES CON TAXISTAS PROFESIONALES Y PERMITE A LOS USUARIOS PEDIR UN TAXI DE MANERA TOTALMENTE GRATUITA. ACTUALMENTE ESTA DISPONIBLE PARA ANDROID Y  IOS. CON BA TAXI PODES SOLICITAR VIAJES TENIENDO ACCESO EN TIEMPO REAL A LA INFORMACION SOBRE EL VEHICULO Y SU CONDUCTOR, GARANTIZANDO MAYOR SEGURIDAD Y CALIDAD DEL SERVICIO. ADEMAS, PERMITE GEORREFERENCIAR LOS VIAJES, PAGAR CON TARJETA DE CREDITO, DEBITO Y EFECTIVO, Y CALIFICAR LA EXPERIENCIA DEL USUARIO. LA APLICACION CUYO USO CRECE DIA A DIA, PERMITE A LOS USUARIOS PEDIR UN TAXI A TRAVES DEL TELEFONO MOVIL, POTENCIANDO LA CONVENIENCIA, SEGURIDAD Y TRANSPARENCIA DEL SERVICIO.;1/1/2017;30/12/2017;TRANSPORTE PUBLICO/ GOBIERNO ABIERTO;
MINISTERIO DE DESARROLLO URBANO Y TRANSPORTE;REGENERAR EL ESPACIO PUBLICO PARA PROMOVER EL DESARROLLO SOSTENIBLE DE CABA.;ESCALA HUMANA;;AREA CENTRAL MICROCENTRO - CALLE ESMERALDA; LAS OBRAS CONSISTEN EN LA NIVELACION DE CALLES Y VEREDAS CON EL OBJETIVO DE DEJAR UN CARRIL CENTRAL PARA TRANSITO LIVIANO, RESTRINGIENDO EL PASO DE COLECTIVOS. EL OBJETIVO ES PONER EN VALOR DEL ESPACIO PUBLICO SOBRE LA CALLE ESMERALDA ENTRE AV. SANTA FE Y LA AV. DE MAYO.;27/10/2014;28/2/2017;ESPACIO PUBLICO/ OBRAS PUBLICAS;SAN NICOLAS
MINISTERIO DE DESARROLLO HUMANO Y HABITAT;GARANTIZAR LA IGUALDAD DE OPORTUNIDADES PARA PERSONAS EN SITUACION DE VULNERABILIDAD.;INTEGRACION SOCIAL;;CENTROS DE PRIMERA INFANCIA (CPI);"LOS CENTROS DE PRIMERA INFANCIA FUERON CREADOS CON EL OBJETIVO DE GARANTIZAR EL CRECIMIENTO Y DESARROLLO SALUDABLE DE LOS NIÑOS Y NIÑAS DE 45 DIAS A 3-4 AÑOS DE EDAD, EN SITUACION DE VULNERABILIDAD SOCIAL, DESDE UNA PERSPECTIVA INTEGRAL, PARA BRINDAR CONTENCION, EDUCACION, ASISTENCIA ALIMENTARIA Y NUTRICIONAL, SEGUIMIENTO Y CUIDADO DE LA SALUD. LOS CPI SON ESPACIOS EN LOS QUE SE TRABAJA LA ESTIMULACION TEMPRANA DE NIÑOS DE 45 DIAS A 2 AÑOS INCLUSIVE; Y EN LA FORMACION Y ADQUISICION DE HABITOS EN LOS CHICOS DE 3 Y 4 AÑOS. ESTOS CENTROS OFRECEN LOS ELEMENTOS BASICOS PARA LA SATISFACCION DE LAS NECESIDADES FISIOLOGICAS, AFECTIVAS, PSICOMOTRICES, DE JUEGO, RECREACION Y SOCIALIZACION PARA EL SANO DESARROLLO DE LOS NIÑOS Y SU ENTRONO.  ASIMISMO, TRABAJAN EN CONJUNTO CON LA FAMILIA PARA FORTALECER LOS VINCULOS ENTRE PADRES E HIJOS: FACILITAR LA CRIANZA Y DESARROLLO DE LAS/OS NIÑAS/OS, GENERANDO CONDICIONES DE PARTICIPACION ACTIVA QUE FORTALEZCAN LOS VINCULOS INTRAFAMILIARES. ADEMAS, CUMPLEN LA FUNCION DE BRINDAR INFORMACION Y CONTENCION A LAS EMBARAZADAS EN SITUACION DE VULNERABILIDAD SOCIAL, SOBRE ASPECTOS FUNDAMENTALES DE CUIDADO DEL EMBARAZO, EL PARTO Y LOS PRIMEROS MESES DE CUIDADO DE SU HIJO, CON MIRAS A FORTALECER LOS VINCULOS ENTRE MADRE E HIJO.";1/12/2016;15/11/2017;SALUD/ NIÑOS Y NIÑAS/ INTEGRACION SOCIAL Y URBANA;
MINISTERIO DE MODERNIZACION, INNOVACION Y TECNOLOGIA;DERIVAR LA POBLACION FAUNISTICA IDENTIFICADA COMO DERIVABLE, ALCANZANDO LOS ESTANDARES DE BIENESTAR ANIMAL DE LOS EJEMPLARES QUE QUEDEN EN EL ECOPARQUE.;CREATIVIDAD;;ECOPARQUE: PUESTA EN VALOR DE EDIFICIOS DE PATRIMONIO HISTORICO;ESTE PROYECTO PREVE LA PUESTA EN VALOR DE LOS EDIFICIOS DE PATRIMONIO HISTORICO UBICADOS DENTRO DEL ECOPARQUE, QUE FUNCIONARAN COMO MUSEOS Y CENTROS DE EXPOSICION EDUCATIVA.;1/10/2017;30/4/2019;ESPACIO PUBLICO/ OBRAS PUBLICAS;PALERMO
MINISTERIO DE MODERNIZACION, INNOVACION Y TECNOLOGIA;DERIVAR LA POBLACION FAUNISTICA IDENTIFICADA COMO DERIVABLE, ALCANZANDO LOS ESTANDARES DE BIENESTAR ANIMAL DE LOS EJEMPLARES QUE QUEDEN EN EL ECOPARQUE.;CREATIVIDAD;;ECOPARQUE - OBRAS BIENESTAR ANIMAL;EJECUCION DE LAS OBRAS NECESARIAS PARA MEJORAR EL BIENESTAR DE LOS ANIMALES QUE PERMANEZCAN EN EL PARQUE, DANDO CUMPLIMIENTO A LAS EXIGENCIAS DE LA NORMATIVA VIGENTE Y LOS ESTANDARES EXIGIDOS POR LA LEY DEL ECOPARQUE.;1/1/2017;21/2/2018;OBRAS PUBLICAS;PALERMO
MINISTERIO DE DESARROLLO URBANO Y TRANSPORTE;REGENERAR EL ESPACIO PUBLICO PARA PROMOVER EL DESARROLLO SOSTENIBLE DE CABA.;ESCALA HUMANA;;PARQUE LINEAL CAMINO DE SIRGA – ETAPA II;CONTEMPLA LA PUESTA EN VALOR DE LA FRANJA COSTERA SOBRE EL MARGEN IZQUIERDO DEL RIACHUELO CONSIDERADO CAMINO DE SIRGA. SE REALIZARA UNA CALLE DE SERVICIO Y EL DISEÑO DEL PAISAJE.;15/8/2016;31/5/2017;OBRAS PUBLICAS;NUEVA POMPEYA
MINISTERIO DE DESARROLLO URBANO Y TRANSPORTE;REGENERAR EL ESPACIO PUBLICO PARA PROMOVER EL DESARROLLO SOSTENIBLE DE CABA.;ESCALA HUMANA;;NUEVA SEDE COMUNAL 12;LA OBRA COMPRENDIO LA CONSTRUCCION DE LA NUEVA SEDE DE LA COMUNA 12, LA CONTINUIDAD DEL TRAZADO DEL PARQUE LINEAL DISEÑADO POR EL ARQ CLORINDO TESTA PARA LA ZONA Y UNA PLAZA NUEVA SOBRE CALLE MONROE.;28/10/2013;17/4/2017;OBRAS PUBLICAS;VILLA URQUIZA
MINISTERIO DE DESARROLLO URBANO Y TRANSPORTE;REGENERAR EL ESPACIO PUBLICO PARA PROMOVER EL DESARROLLO SOSTENIBLE DE CABA.;ESCALA HUMANA;;CUBIERTA ARENA PARQUE ROCA;LA OBRA COMPRENDE  LA CONSTRUCCION DE UNA CUBIERTA METALICA RETRACTIL MOTORIZADA SOBRE EL ESTADIO  MARY TERAN DE WEISS  Y  DEL EQUIPAMIENTO COMPLEMENTARIO NECESARIO PARA LA PUESTA EN VALOR DEL ESTADIO.;15/5/2017;30/4/2018;OBRAS PUBLICAS/ DEPORTES/ CULTURA;VILLA SOLDATI
MINISTERIO DE DESARROLLO URBANO Y TRANSPORTE;EJECUTAR EL PLAN PLURIANUAL HIDRAULICO.;ESCALA HUMANA;;CUENCA MALDONADO;CONSISTE EN LA CONSTRUCCION DE DOS GRANDES TUNELES ALIVIADORES EN LA CUENCA DEL ARROYO MALDONADO CON LA FINALIDAD DE AUMENTAR SU CAPACIDAD DE CAPTACION PARA MITIGAR INUNDACIONES.;4/5/2015;30/3/2017;OBRAS PUBLICAS;PALERMO/ VILLA CRESPO/ PATERNAL
MINISTERIO DE DESARROLLO URBANO Y TRANSPORTE (STRANS - CABA);MEJORAR LA SEGURIDAD VIAL Y A LA ACCESIBILIDAD FISICA.;ESCALA HUMANA;DISFRUTE;ACCION INTEGRAL PARA MOTOCICLISTAS;"LOS MOTOCICLISTAS REPRESENTAN EL 34% DE VICTIMAS FATALES Y EL 38% DE HERIDOS. A TRAVES DE DIFERENTES  ACCIONES DE EDUCACION, CONTROL, CONCIENTIZACION Y COMUNICACION TRABAJAMOS PARA LOGRAR UN CAMBIO CULTURAL. IMPLEMENTAMOS CURSOS Y DESARROLLAMOS CONTENIDO AUDIOVISUAL PARA LA  OTORGACION Y RENOVACION DE LICENCIA, ESPECIFICO PARA MOTOCICLETAS. ASIMISMO TRABAJAMOS EN FORMA INTEGRAL CON CONTROLES DE CASCO Y DOCUMENTACION. ADEMAS CAPACITAMOS A LOS AGENTES DE TRANSITO EN CONDUCCION SEGURA DE MOTOCICLETA E IMPLEMENTAMOS EL PROGRAMA “CAMBIO DE CASCO Y DE ACTITUDES"". TAMBIEN TRABAJAMOS DE MANERA CONJUNTA CON 5  MUNICIPIOS PARA LA ELABORACION DE UN PLAN METROPOLITANO DE SEGURIDAD VIAL PARA MOTOCICLISTAS.";15/2/2017;31/12/2017;TRANSPORTE PUBLICO/ SISTEMA INTEGRAL DE SEGURIDAD;
MINISTERIO DE DESARROLLO URBANO Y TRANSPORTE (STRANS - CABA);MEJORAR LA SEGURIDAD VIAL Y A LA ACCESIBILIDAD FISICA.;ESCALA HUMANA;DISFRUTE;INTERVENCION DE OCHAVAS;"CON EL OBJETIVO DE REDUCIR EL RADIO DE GIRO DE AUTOMOVILES Y DISMINUIR LA VELOCIDAD EN ESQUINAS PELIGROSAS DE LA CIUDAD, SE IMPLEMENTA EL PROYECTO DE OCHAVAS MEDIANTE EL CUAL REALIZAMOS INTERVENCIONES EN DIFERENTES INTERSECCIONES DE LA CIUDAD QUE HACEN DEL CRUCE UN ESPACIO URBANO MAS SEGURO TANTO PARA CONDUCTORES COMO PARA PEATONES. ADEMAS CON ESTAS INTERVENCIONES SE EVITA EL ESTACIONAMIENTO INDEBIDO EN LAS OCHAVAS QUE DIFICULTA EL PASO DE LOS PEATONES Y OBSTRUYE LA VISIBILIDAD DE LOS AUTOS, GENERANDO UN BENEFICIO EN TERMINOS DE SEGURIDAD VIAL. DE ESTA MANERA PARTIR DE LA INCORPORACION DE MOBILIARIO URBANO Y LA EXTENSION DE LOS CRUCES SE AMPLIA EL ESPACIO PEATONAL Y SE REDUCE LA VELOCIDAD VEHICULAR TANTO PARA CRUZAR COMO PARA DOBLAR EN LA ESQUINA. TAMBIEN SE INSTALARON ANCLAJES PARA BICICLETAS, SE ORDENO EL ESTACIONAMIENTO DE MOTOS BRINDANDOLES UN ESPACIO MAS COMODO Y SEGURO; Y SE COLOCARON MACETAS PARA OTORGAR SEGURIDAD A LOS PEATONES EN CASO DE PERDIDA DE CONTROL DE LOS VEHICULOS.";1/7/2016;30/11/2017;TRANSPORTE PUBLICO/ SISTEMA INTEGRAL DE SEGURIDAD;
MINISTERIO DE DESARROLLO URBANO Y TRANSPORTE (STRANS - CABA);MEJORAR LA OFERTA Y CALIDAD DEL TRANSPORTE PUBLICO EN GENERAL PARA POTENCIAR SU USO Y REDUCIR SU IMPACTO AMBIENTAL.;ESCALA HUMANA;;ESTACIONAMIENTO ORDENADO;EL ESTACIONAMIENTO ORDENADO ES UNA POLITICA QUE PERMITE ORDENAR Y EVITAR SITUACIONES EN LAS QUE SE PONGA EN JUEGO LA ACCESIBILIDAD Y SEGURIDAD VIAL DE LOS VECINOS: BLOQUEO DE RAMPAS PARA DISCAPACITADOS Y GARAJES, OCHAVAS, PARADAS DE COLECTIVOS, ESPACIOS DE DETENCION DE AMBULANCIAS, INGRESOS A ESCUELAS Y HOSPITALES, ESPACIOS DE CARGA Y DESCARGA DE MERCADERIA, ENTRE OTRAS. EXISTE LA NECESIDAD DE ACTUALIZAR LAS ZONAS TARIFADAS Y EXTENDER EL CONTROL DE ESTACIONAMIENTO A TODA LA CIUDAD. ESTE SE APLICARA EN LAS CALLES COMERCIALES Y EN ZONAS RESIDENCIALES CON MUCHA DEMANDA DE ESTACIONAMIENTO. A SU VEZ SE RENOVARA LA TECNOLOGIA DE LOS PARQUIMETROS Y EL SISTEMA DE ACARREO DE VEHICULOS EN INFRACCION SE EXTENDERA A TODA LA CIUDAD. PARA COMENZAR EL PROYECTO PREVIAMENTE SE DEBERA REALIZAR UNA LICITACION PUBLICA PARA ELEGIR EL PROVEEDOR DE LOS TERMINALES MULTIPROPOSITO PARA, POSTERIORMENTE, PODER CONCESIONAR EL SERVICIO DE ESTACIONAMIENTO REGULADO EN TODO CABA. TAMBIEN SE PODRA PAGAR CON TARJETA DE DEBITO, CREDITO Y TARJETA SUBE.  LA ETAPA DE IMPLEMENTACION DE ESTACIONAMIENTO MEDIDO SE COMENZARA EN 2018.;1/1/2017;11/2/2019;ESPACIO PUBLICO;
MINISTERIO DE DESARROLLO URBANO Y TRANSPORTE;REGENERAR EL ESPACIO PUBLICO PARA PROMOVER EL DESARROLLO SOSTENIBLE DE CABA.;ESCALA HUMANA;;VILLA OLIMPICA - JARDIN MATERNAL;LA OBRA CONSISTIO EN LA CONSTRUCCION DE UN NUEVO CENTRO DE DESARROLLO INFANTIL CON INFRAESTRUCTURA DE LA MAS ALTA CALIDAD, PARA TRASLADAR EL JARDIN QUE ESTABA EMPLAZADO EN EL ANTIGUO EDIFICIO ADMINISTRATIVO DEL PARQUE DE LA CIUDAD. DA RESPUESTA A LA DEMANDA Y NECESIDAD DE LOS VECINOS.;1/1/2016;15/11/2017;OBRAS PUBLICAS/ EDUCACION;VILLA SOLDATI
MINISTERIO DE DESARROLLO URBANO Y TRANSPORTE (STRANS - CABA);MEJORAR LA OFERTA Y CALIDAD DEL TRANSPORTE PUBLICO EN GENERAL PARA POTENCIAR SU USO Y REDUCIR SU IMPACTO AMBIENTAL.;ESCALA HUMANA;;SISTEMA DE GESTION INTEGRAL DE LA MOVILIDAD;EL SISTEMA DE GESTION INTEGRAL DE LA MOVILIDAD BUSCA UNIFICAR EL GERENCIAMIENTO DE LA INFORMACION EN LA CIUDAD DE BUENOS AIRES A TRAVES DE LA CENTRALIZACION DE TODOS LOS SISTEMAS DE SEMAFOROS Y LOS SERVICIOS MULTIMEDIA Y MULTICANALES DE INFOMOVILIDAD PARA LOS CONDUCTORES Y CIUDADANOS. EL IMPACTO DE UN ENFOQUE SMART BASADO EN LA GERENCIAMIENTO EFICAZ DE DATOS TENDRA MULTIPLES BENEFICIOS PARA EL DESARROLLO DE CIUDAD: MITIGARA LA CONGESTION Y EL AUMENTO DE TIEMPOS DE VIAJES -CON SU CONSECUENTE IMPACTO AMBIENTAL-Y, PARALELAMENTE, MEJORARA LA CALIDAD AMBIENTAL EN EL ESPACIO PUBLICO Y EL ACCESO A LAS OPORTUNIDADES.;3/5/2017;31/10/2018;ESPACIO PUBLICO/ TRANSPORTE PUBLICO/ GOBIERNO ABIERTO;
MINISTERIO DE AMBIENTE Y ESPACIO PUBLICO;MEJORAR LA LIMPIEZA DE LA CIUDAD.;ESCALA HUMANA;;CONTENEDORES BILATERALES CORREDOR CENTRO;INCORPORAR AL SERVICIO PUBLICO DE HIGIENE URBANA EQUIPAMIENTO Y CONTENEDORES PARA RESIDUOS SOLIDOS URBANOS- FRACCION HUMEDOS CONFORME SISTEMA DE TIPO BILATERAL (REEMPLAZO DE SISTEMA LATERAL). META: 2640: 2474 INSTALADOS + BACKUP.;10/7/2017;30/9/2017;ESPACIO PUBLICO;
MINISTERIO DE AMBIENTE Y ESPACIO PUBLICO;LOGRAR UNA MEJOR CALIDAD Y USO DEL ESPACIO PUBLICO CON ACCIONES QUE PROMUEVAN SU CORRECTO DESARROLLO Y USO, Y CONSOLIDEN A LA CIUDAD DE BUENOS AIRES COMO UNA CIUDAD A ESCALA HUMANA.;ESCALA HUMANA;;LIMPIEZA DE FACHADAS - ANTI-GRAFITTIS;CON EL OBJETIVO DE DISMINUIR LA CONTAMINACION VISUAL EN LA CIUDAD Y PONER EN VALOR LOS FRENTES DE VECINOS Y COMERCIOS DE NUESTRA CIUDAD, SE PREVE EN EL 2017 LA LIMPIEZA DE 23.000 FRENTES VANDALIZADOS POR GRAFFITTIS DEL EJE CENTRO.;1/2/2017;31/12/2017;ESPACIO PUBLICO;
MINISTERIO DE DESARROLLO URBANO Y TRANSPORTE;REGENERAR EL ESPACIO PUBLICO PARA PROMOVER EL DESARROLLO SOSTENIBLE DE CABA.;ESCALA HUMANA;;PARQUE PATRICIOS;LA OBRA PROPONE GENERAR UN ESPACIO PUBLICO DE ENCUENTRO E INTERACCION PARA LOS VECINOS DEL BARRIO Y USUARIOS DE OTRAS PARTES DE LA CIUDAD.;1/11/2016;31/8/2017;ESPACIO PUBLICO ;PARQUE PATRICIOS
MINISTERIO DE DESARROLLO URBANO Y TRANSPORTE;AUMENTAR EL USO DE PASES Y REDUCIR EL TIEMPO PROMEDIO DE SU TRAMITACION (AUSA) .;DISFRUTE;ESCALA HUMANA;PASO BAJO NIVEL BEIRO;LA INAUGURACION DEL PASO BAJO NIVEL DE AV. BEIRO PERMITIO MEJORAR LAS CONDICIONES DE SEGURIDAD VIAL Y EVITAR LOS CONGESTIONAMIENTOS QUE SE OCASIONABAN EN LA INTERSECCION DE LA BARRERA DEL CRUCE DEL FFCC URQUIZA CON AVENIDA BEIRO. ADICIONALMENTE SE CONSTRUYO UNA NUEVA PLAZA DE 6.000 M2 APROX. QUE TRANSFORMO EL LUGAR EN UN NUEVO ESPACIO VERDE.;15/9/2014;19/6/2017;OBRAS PUBLICAS/ TRANSPORTE PUBLICO;AGRONOMIA
MINISTERIO DE DESARROLLO URBANO Y TRANSPORTE;EJECUTAR EL PLAN PLURIANUAL HIDRAULICO.;ESCALA HUMANA;;DESARROLLO DE LA ESTACION DE BOMBEO 5 BOCA - BARRACAS;EL SISTEMA PLUVIAL BOCA-BARRACAS ES UN SISTEMA DE CONTROL Y DRENAJE PARA EVITAR LAS RECURRENTES INUNDACIONES EN LOS BARRIOS MAS BAJOS DE LA CIUDAD (BOCA Y BARRACAS), FUNDAMENTALMENTE A RAIZ DEL FENOMENO DE LAS SUDESTADAS. LA ESTACION DE BOMBEO 5 ES LA ETAPA FINAL DE EJECUCION DEL SISTEMA.;1/8/2013;31/5/2017;OBRAS PUBLICAS;BARRACAS
MINISTERIO DE DESARROLLO URBANO Y TRANSPORTE;REGENERAR EL ESPACIO PUBLICO PARA PROMOVER EL DESARROLLO SOSTENIBLE DE CABA.;ESCALA HUMANA;;PUENTE LACARRA;NUEVO PUENTE VEHICULAR Y PEATONAL SOBRE EL RIACHUELO QUE UNIRA SOLDATI CON LANUS, PERMITIENDO MEJORAR LA VINCULACION DE LA ZONA SUR DE LA C.A.B.A. CON LA PROVINCIA DE BUENOS AIRES.ADICIONALMENTE PERMITIRA DISMINUIR EL TRANSITO DE CARGAS POR EL PUENTE ALSINA , FAVORECIENDO EL ACCESO DE TRANSITO PESADO A LA RED DE AUTOPISTAS URBANAS PARA DESCOMPRIMIR ASI LA CIRCULACION DE CAMIONES POR LAS CALLES Y AVENIDAS DE LOS BARRIOS.;15/10/2016;30/6/2018;OBRAS PUBLICAS/ TRANSPORTE PUBLICO/ INTEGRACION SOCIAL Y URBANA ;VILLA SOLDATI
MINISTERIO DE DESARROLLO URBANO Y TRANSPORTE;REGENERAR EL ESPACIO PUBLICO PARA PROMOVER EL DESARROLLO SOSTENIBLE DE CABA.;ESCALA HUMANA;;VILLA OLIMPICA - VIVIENDAS;SERAN VIVIENDAS QUE ALBERGARAN A LOS ATLETAS DE LOS JUEGOS OLIMPICOS DE LA JUVENTUD 2018, Y, UNA VEZ FINALIZADO EL EVENTO DEPORTIVO, SE CONVERTIRAN EN EL NUEVO HOGAR DE 1200 FAMILIAS.;23/1/2015;15/2/2018;OBRAS PUBLICAS/ VIVIENDA/ INTEGRACION SOCIAL Y URBANA/ DEPORTES;VILLA SOLDATI
MINISTERIO DE DESARROLLO URBANO Y TRANSPORTE;REGENERAR EL ESPACIO PUBLICO PARA PROMOVER EL DESARROLLO SOSTENIBLE DE CABA.;ESCALA HUMANA;;VILLA OLIMPICA - INFRASTRUCTURA SERVICIOS PUBLICOS;INSTALACION DE RED PLUVIAL Y PAVIMENTOS, DE AGUA Y CLOACA, ELECTRICA Y DE GAS PARA LA VILLA OLIMPICA.;2/5/2016;1/3/2018;OBRAS PUBLICAS/ INTEGRACION SOCIAL Y URBANA/ DEPORTES;VILLA SOLDATI
MINISTERIO DE SALUD;PROMOVER E IMPLEMENTAR ACUERDOS Y PLANIFICACION INTERSECTORIAL PARA AVANZAR EN ESTRATEGIAS INTERSECTORIALES PARA EL FORTALECIMIENTO DE LAS POLITICAS SANITARIAS.;CREATIVIDAD;;PLAN INTEGRAL DE SEGURIDAD DE LA RED SANITARIA;PLAN DE SEGURIDAD FISICA, VIGILANCIA, ALERTA PRECOZ, MANEJO DE SITUACIONES VIOLENTAS Y CONTENCION DE LAS VICTIMAS.;21/1/2017;31/12/2017;SALUD/ SISTEMA INTEGRAL DE SEGURIDAD;
MINISTERIO DE DESARROLLO URBANO Y TRANSPORTE (STRANS - CABA);MEJORAR LA SEGURIDAD VIAL Y A LA ACCESIBILIDAD FISICA.;ESCALA HUMANA;DISFRUTE;MEJORA DE LA SEGURIDAD PEATONAL Y VEHICULAR EN LA INTERSECCION DE LAS AVENIDAS MARTIN GARCIA Y REGIMIENTO PATRICIOS;EL PRINCIPAL OBJETIVO DEL PROYECTO ES MEJORAR LA SEGURIDAD TANTO PEATONAL COMO VEHICULAR. A PARTIR DE LA INCORPORACION DE ISLETAS COMO APOYO PEATONAL, SE REDUCE LA DISTANCIA DE LOS CRUCES Y LOS EXCESOS DE VELOCIDAD. ADEMAS SE AUMENTO LA SUPERFICIE PARA EL PEATON GENERANDO UN BENEFICIO PARA CERCA DE 6 MIL PERSONAS.;1/5/2016;30/10/2016;ESPACIO PUBLICO/ TRANSPORTE PUBLICO/ SISTEMA INTEGRAL DE SEGURIDAD;BARRACAS
MINISTERIO DE SALUD;PROMOVER E IMPLEMENTAR ACUERDOS Y PLANIFICACION INTERSECTORIAL PARA AVANZAR EN ESTRATEGIAS INTERSECTORIALES PARA EL FORTALECIMIENTO DE LAS POLITICAS SANITARIAS.;CREATIVIDAD;;SAME AMBA;CAPACITACION A MUNICIPIOS ADHERIDOS AL SAME PROVINCIA.;21/1/2017;31/12/2017;SALUD/ INTEGRACION SOCIAL Y URBANA;
SECRETARIA DE DESARROLLO CIUDADANO (VICEJEFATURA);FORTALECER A LAS FAMILIAS COMO AGENTE DE DESARROLLO PARA LA CONVIVENCIA SOCIAL.;DISFRUTE;;ESPACIO FAMILIA;ES UN ESPACIO MOVIL EN EL CUAL SE BRINDA ORIENTACION Y ACOMPAÑAMIENTO FAMILIAR EN DISTINTOS PUNTOS DE LA CIUDAD. TAMBIEN REALIZA ACTIVIDADES DE PROMOCION DE HABITOS FAMILIARES SALUDABLES ENTRE LOS VECINOS, SENSIBILIZANDO A SU VEZ  SOBRE DIFERENTES PROBLEMATICAS Y BRINDANDO HERRAMIENTAS PARA SU PREVENCION.;15/2/2017;12/12/2017;SALUD/ DERECHOS/ JOVENES/ NIÑOS Y NIÑAS;
